Дата операции,Номер документа,Тип документа,Контрагент,Сумма,Валюта,НДС,Счет учета,Описание операции,Ответственный сотрудник
2026-04-20,LG-02549,Акт,TOO Vision Market,277000,KZT,33240.0,7210,Услуги сопровождения офиса,Дамир К.
2026-04-21,LG-02550,Счет-фактура,TOO Logistic Group,284250,KZT,34110.0,2930,Поставка расходных материалов,Айгерим С.
2026-04-22,LG-02551,Акт,TOO Prime Service,291500,KZT,34980.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-04-23,LG-02552,Счет-фактура,TOO Delta Supplies,298750,KZT,35850.0,7210,Маркетинговые услуги,Марина Ж.
2026-04-24,LG-02553,Акт,TOO North Office,306000,KZT,36720.0,2930,Транспортные услуги,Арман О.
2026-04-25,LG-02554,Счет-фактура,TOO Metro Parts,45000,KZT,5400.0,3310,,Дамир К.
2026-04-26,LG-02555,Акт,TOO City Trade,52250,KZT,6270.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-04-27,LG-02556,Счет-фактура,IP Audit Expert,59500,KZT,7140.0,2930,Поставка расходных материалов,Нурлан Т.
2026-04-28,LG-02556,Акт,TOO Vision Market,66750,KZT,8010.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-04-29,LG-02558,Счет-фактура,TOO Logistic Group,74000,KZT,8880.0,7210,Маркетинговые услуги,Арман О.
2026-04-30,LG-02559,Акт,TOO Prime Service,81250,KZT,9750.0,2930,Транспортные услуги,Дамир К.
2026-05-01,LG-02560,Счет-фактура,TOO Delta Supplies,88500,KZT,10620.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-05-02,LG-02561,Акт,TOO North Office,95750,KZT,11490.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-05-03,LG-02562,Счет-фактура,TOO Metro Parts,103000,KZT,12360.0,2930,Поставка расходных материалов,Марина Ж.
2026-05-04,LG-02563,Акт,TOO City Trade,110250,KZT,13230.0,3310,Техническое обслуживание оборудования,Арман О.
2026-05-05,LG-02564,Счет-фактура,IP Audit Expert,117500,KZT,14100.0,7210,Маркетинговые услуги,Дамир К.
2026-05-06,LG-02565,Акт,TOO Vision Market,124750,KZT,14970.0,2930,Транспортные услуги,Айгерим С.
2026-05-07,LG-02566,Счет-фактура,TOO Logistic Group,132000,KZT,15840.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-05-08,LG-02567,Акт,TOO Prime Service,139250,KZT,16710.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-05-09,LG-02568,Счет-фактура,TOO Delta Supplies,146500,KZT,17580.0,2930,Поставка расходных материалов,Арман О.
2026-05-10,LG-02569,Акт,TOO North Office,153750,KZT,18450.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-05-11,LG-02570,Счет-фактура,TOO Metro Parts,161000,KZT,19320.0,7210,Маркетинговые услуги,Айгерим С.
2026-05-12,LG-02571,Акт,TOO City Trade,168250,KZT,20190.0,2930,Транспортные услуги,Нурлан Т.
2026-05-13,LG-02572,Счет-фактура,IP Audit Expert,175500,KZT,21060.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-05-14,LG-02573,Акт,TOO Vision Market,182750,KZT,21930.0,7210,Услуги сопровождения офиса,Арман О.
2026-05-15,LG-02574,Счет-фактура,TOO Logistic Group,190000,KZT,22800.0,2930,Поставка расходных материалов,Дамир К.
2026-05-16,LG-02575,Акт,TOO Prime Service,197250,KZT,23670.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-05-17,LG-02576,Счет-фактура,TOO Delta Supplies,204500,KZT,24540.0,7210,Маркетинговые услуги,Нурлан Т.
2026-05-18,LG-02577,Акт,TOO North Office,211750,KZT,25410.0,2930,Транспортные услуги,Марина Ж.
2026-05-19,LG-02578,Счет-фактура,TOO Metro Parts,219000,KZT,26280.0,3310,Закупка канцелярских товаров,Арман О.
2026-05-20,LG-02579,Акт,TOO City Trade,226250,KZT,27150.0,7210,Услуги сопровождения офиса,Дамир К.
2026-05-21,LG-02580,Счет-фактура,IP Audit Expert,233500,KZT,28020.0,2930,Поставка расходных материалов,Айгерим С.
2026-05-22,LG-02581,Акт,TOO Vision Market,240750,KZT,28890.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-05-23,LG-02582,Счет-фактура,TOO Logistic Group,248000,KZT,29760.0,7210,Маркетинговые услуги,Марина Ж.
2026-05-24,LG-02583,Акт,TOO Prime Service,255250,KZT,30630.0,2930,Транспортные услуги,Арман О.
2026-05-25,LG-02584,Счет-фактура,TOO Delta Supplies,262500,KZT,31500.0,3310,Закупка канцелярских товаров,Дамир К.
2026-05-26,LG-02585,Акт,TOO North Office,269750,KZT,32370.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-05-27,LG-02586,Счет-фактура,TOO Metro Parts,277000,KZT,33240.0,2930,Поставка расходных материалов,Нурлан Т.
2026-05-28,LG-02587,Акт,TOO City Trade,284250,KZT,34110.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-05-29,LG-02588,Счет-фактура,IP Audit Expert,291500,KZT,34980.0,7210,Маркетинговые услуги,Арман О.
2026-05-30,LG-02589,Акт,TOO Vision Market,298750,KZT,35850.0,2930,Транспортные услуги,Дамир К.
2026-05-31,LG-02590,Счет-фактура,TOO Logistic Group,306000,KZT,36720.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-06-01,LG-02591,Акт,TOO Prime Service,45000,KZT,5400.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-06-02,LG-02592,Счет-фактура,TOO Delta Supplies,52250,KZT,6270.0,2930,Поставка расходных материалов,Марина Ж.
2026-06-03,LG-02593,Акт,TOO North Office,59500,KZT,7140.0,3310,Техническое обслуживание оборудования,Арман О.
2026-06-04,LG-02594,Счет-фактура,TOO Metro Parts,66750,KZT,8010.0,7210,Маркетинговые услуги,Дамир К.
2026-06-05,LG-02595,Акт,TOO City Trade,74000,KZT,8880.0,2930,Транспортные услуги,Айгерим С.
2026-06-06,LG-02596,Счет-фактура,IP Audit Expert,81250,KZT,9750.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-06-07,LG-02597,Акт,TOO Vision Market,88500,KZT,10620.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-06-08,LG-02598,Счет-фактура,TOO Logistic Group,95750,KZT,11490.0,2930,Поставка расходных материалов,Арман О.
2026-06-09,LG-02599,Акт,TOO Prime Service,103000,KZT,12360.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-06-10,LG-02600,Счет-фактура,TOO Delta Supplies,110250,KZT,13230.0,7210,Маркетинговые услуги,Айгерим С.
2026-06-11,LG-02601,Акт,TOO North Office,117500,KZT,14100.0,2930,Транспортные услуги,Нурлан Т.
2026-06-12,LG-02602,Счет-фактура,TOO Metro Parts,124750,KZT,14970.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-06-13,LG-02603,Акт,TOO City Trade,132000,KZT,15840.0,7210,Услуги сопровождения офиса,Арман О.
2026-06-14,LG-02604,Счет-фактура,IP Audit Expert,139250,KZT,16710.0,2930,Поставка расходных материалов,Дамир К.
2026-06-15,LG-02605,Акт,TOO Vision Market,146500,KZT,17580.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-06-16,LG-02606,Счет-фактура,TOO Logistic Group,153750,KZT,18450.0,7210,Маркетинговые услуги,Нурлан Т.
2026-06-17,LG-02607,Акт,TOO Prime Service,161000,KZT,19320.0,2930,Транспортные услуги,Марина Ж.
2026-06-18,LG-02608,Счет-фактура,TOO Delta Supplies,168250,KZT,20190.0,3310,Закупка канцелярских товаров,Арман О.
2026-06-19,LG-02609,Акт,TOO North Office,175500,KZT,21060.0,7210,Услуги сопровождения офиса,Дамир К.
2026-06-20,LG-02610,Счет-фактура,TOO Metro Parts,182750,KZT,21930.0,2930,Поставка расходных материалов,Айгерим С.
2026-06-21,LG-02611,Акт,TOO City Trade,190000,KZT,22800.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-06-22,LG-02612,Счет-фактура,IP Audit Expert,197250,KZT,23670.0,7210,Маркетинговые услуги,Марина Ж.
2026-06-23,LG-02613,Акт,TOO Vision Market,204500,KZT,24540.0,2930,Транспортные услуги,Арман О.
2026-06-24,LG-02614,Счет-фактура,TOO Logistic Group,211750,KZT,25410.0,3310,Закупка канцелярских товаров,Дамир К.
2026-06-25,LG-02615,Акт,TOO Prime Service,219000,KZT,26280.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-06-26,LG-02616,Счет-фактура,TOO Delta Supplies,226250,KZT,27150.0,2930,Поставка расходных материалов,Нурлан Т.
2026-06-27,LG-02617,Акт,TOO North Office,233500,KZT,28020.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-06-28,LG-02618,Счет-фактура,TOO Metro Parts,240750,KZT,28890.0,7210,Маркетинговые услуги,Арман О.
2026-06-29,LG-02619,Акт,TOO City Trade,248000,KZT,29760.0,2930,Транспортные услуги,Дамир К.
2026-01-01,LG-02620,Счет-фактура,IP Audit Expert,255250,KZT,30630.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-01-02,LG-02621,Акт,TOO Vision Market,262500,KZT,31500.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-01-03,LG-02622,Счет-фактура,TOO Logistic Group,269750,KZT,32370.0,2930,Поставка расходных материалов,Марина Ж.
2026-01-04,LG-02623,Акт,TOO Prime Service,277000,KZT,33240.0,3310,Техническое обслуживание оборудования,Арман О.
2026-01-05,LG-02624,Счет-фактура,TOO Delta Supplies,284250,KZT,34110.0,7210,Маркетинговые услуги,Дамир К.
2026-01-06,LG-02625,Прочее,TOO Unknown Services,2750000,KZT,0,7210,Срочная корректировка вручную,Айгерим С.
2026-01-07,LG-02626,Счет-фактура,TOO Metro Parts,298750,KZT,35850.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-01-08,LG-02627,Акт,TOO City Trade,306000,KZT,36720.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-01-09,LG-02628,Счет-фактура,IP Audit Expert,45000,KZT,5400.0,2930,Поставка расходных материалов,Арман О.
2026-01-10,LG-02629,Акт,TOO Vision Market,52250,KZT,6270.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-01-11,LG-02630,Счет-фактура,TOO Logistic Group,59500,KZT,7140.0,7210,Маркетинговые услуги,Айгерим С.
2026-01-12,LG-02631,Акт,TOO Prime Service,66750,KZT,8010.0,2930,Транспортные услуги,Нурлан Т.
2026-01-13,LG-02632,Счет-фактура,TOO Delta Supplies,74000,KZT,8880.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-01-14,LG-02633,Акт,TOO North Office,81250,KZT,9750.0,7210,Услуги сопровождения офиса,Арман О.
2026-01-15,LG-02634,Счет-фактура,TOO Metro Parts,88500,KZT,10620.0,2930,Поставка расходных материалов,Дамир К.
2026-01-16,LG-02635,Акт,TOO City Trade,95750,KZT,11490.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-01-17,LG-02636,Счет-фактура,IP Audit Expert,103000,KZT,12360.0,7210,Маркетинговые услуги,Нурлан Т.
2026-01-18,LG-02637,Акт,TOO Vision Market,110250,KZT,13230.0,2930,Транспортные услуги,Марина Ж.
2026-01-19,LG-02638,Счет-фактура,TOO Logistic Group,117500,KZT,14100.0,3310,Закупка канцелярских товаров,Арман О.
2026-01-20,LG-02639,Акт,TOO Prime Service,124750,KZT,14970.0,7210,Услуги сопровождения офиса,Дамир К.
2026-01-21,LG-02640,Счет-фактура,TOO Delta Supplies,132000,KZT,15840.0,2930,Поставка расходных материалов,Айгерим С.
2026-01-22,LG-02641,Акт,TOO North Office,139250,KZT,16710.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-01-23,LG-02642,Счет-фактура,TOO Metro Parts,146500,KZT,17580.0,7210,Маркетинговые услуги,Марина Ж.
2026-01-24,LG-02643,Акт,TOO City Trade,153750,KZT,18450.0,2930,Транспортные услуги,Арман О.
2026-01-25,LG-02644,Счет-фактура,IP Audit Expert,161000,KZT,19320.0,3310,Закупка канцелярских товаров,Дамир К.
2026-01-26,LG-02645,Акт,TOO Vision Market,168250,KZT,20190.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-01-27,LG-02646,Счет-фактура,TOO Logistic Group,175500,KZT,21060.0,2930,Поставка расходных материалов,Нурлан Т.
2026-01-28,LG-02647,Акт,TOO Prime Service,182750,KZT,21930.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-01-29,LG-02648,Счет-фактура,TOO Delta Supplies,190000,KZT,22800.0,7210,Маркетинговые услуги,Арман О.
2026-01-30,LG-02649,Акт,TOO North Office,197250,KZT,23670.0,2930,Транспортные услуги,Дамир К.
2026-01-31,LG-02650,Счет-фактура,TOO Metro Parts,204500,KZT,24540.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-02-01,LG-02651,Акт,TOO City Trade,211750,KZT,25410.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-02-02,LG-02652,Счет-фактура,IP Audit Expert,219000,KZT,26280.0,2930,Поставка расходных материалов,Марина Ж.
2026-02-03,LG-02653,Акт,TOO Vision Market,226250,KZT,27150.0,3310,Техническое обслуживание оборудования,Арман О.
2026-02-04,LG-02654,Счет-фактура,TOO Logistic Group,233500,KZT,28020.0,7210,Маркетинговые услуги,Дамир К.
2026-02-05,LG-02655,Акт,TOO Prime Service,240750,KZT,28890.0,2930,Транспортные услуги,Айгерим С.
2026-02-06,LG-02656,Счет-фактура,TOO Delta Supplies,248000,KZT,29760.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-02-07,LG-02657,Акт,TOO North Office,255250,KZT,30630.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-02-08,LG-02658,Счет-фактура,TOO Metro Parts,262500,KZT,31500.0,2930,Поставка расходных материалов,Арман О.
2026-02-09,LG-02659,Акт,TOO City Trade,269750,KZT,32370.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-02-10,LG-02660,Счет-фактура,IP Audit Expert,277000,KZT,33240.0,7210,Маркетинговые услуги,Айгерим С.
2026-02-11,LG-02661,Акт,TOO Vision Market,284250,KZT,34110.0,2930,Транспортные услуги,Нурлан Т.
2026-02-12,LG-02662,Счет-фактура,TOO Logistic Group,291500,KZT,34980.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-02-13,LG-02663,Акт,TOO Prime Service,298750,KZT,35850.0,7210,Услуги сопровождения офиса,Арман О.
2026-02-14,LG-02664,Счет-фактура,TOO Delta Supplies,306000,KZT,36720.0,2930,Поставка расходных материалов,Дамир К.
2026-02-15,LG-02665,Акт,TOO North Office,45000,KZT,5400.0,3310,,Айгерим С.
2026-02-16,LG-02666,Счет-фактура,TOO Metro Parts,52250,KZT,6270.0,7210,Маркетинговые услуги,Нурлан Т.
2026-02-17,LG-02667,Акт,TOO City Trade,59500,KZT,7140.0,2930,Транспортные услуги,Марина Ж.
2026-02-18,LG-02668,Счет-фактура,IP Audit Expert,66750,KZT,8010.0,3310,Закупка канцелярских товаров,Арман О.
2026-02-19,LG-02669,Акт,TOO Vision Market,74000,KZT,8880.0,7210,Услуги сопровождения офиса,Дамир К.
2026-02-20,LG-02670,Счет-фактура,TOO Logistic Group,81250,KZT,9750.0,2930,Поставка расходных материалов,Айгерим С.
2026-02-21,LG-02671,Акт,TOO Prime Service,88500,KZT,10620.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-02-22,LG-02672,Счет-фактура,TOO Delta Supplies,95750,KZT,11490.0,7210,Маркетинговые услуги,Марина Ж.
2026-02-23,LG-02673,Акт,TOO North Office,103000,KZT,12360.0,2930,Транспортные услуги,Арман О.
2026-02-24,LG-02674,Счет-фактура,TOO Metro Parts,110250,KZT,13230.0,3310,Закупка канцелярских товаров,Дамир К.
2026-02-25,LG-02675,Акт,TOO City Trade,117500,KZT,14100.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-02-26,LG-02676,Счет-фактура,IP Audit Expert,124750,KZT,14970.0,2930,Поставка расходных материалов,Нурлан Т.
2026-02-27,LG-02677,Акт,TOO Vision Market,132000,KZT,15840.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-02-28,LG-02678,Счет-фактура,TOO Logistic Group,139250,KZT,16710.0,7210,Маркетинговые услуги,Арман О.
2026-03-01,LG-02679,Акт,TOO Prime Service,146500,KZT,17580.0,2930,Транспортные услуги,Дамир К.
2026-03-02,LG-02680,Счет-фактура,TOO Delta Supplies,153750,KZT,18450.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-03-03,LG-02681,Акт,TOO North Office,161000,KZT,19320.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-03-04,LG-02682,Счет-фактура,TOO Metro Parts,168250,KZT,20190.0,2930,Поставка расходных материалов,Марина Ж.
2026-03-05,LG-02683,Акт,TOO City Trade,175500,KZT,21060.0,3310,Техническое обслуживание оборудования,Арман О.
2026-03-06,LG-02684,Счет-фактура,IP Audit Expert,182750,KZT,21930.0,7210,Маркетинговые услуги,Дамир К.
2026-03-07,LG-02685,Акт,TOO Vision Market,190000,KZT,22800.0,2930,Транспортные услуги,Айгерим С.
2026-03-08,LG-02686,Счет-фактура,TOO Logistic Group,197250,KZT,23670.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-03-09,LG-02687,Акт,TOO Prime Service,204500,KZT,24540.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-03-10,LG-02688,Счет-фактура,TOO Delta Supplies,211750,KZT,25410.0,2930,Поставка расходных материалов,Арман О.
2026-03-11,LG-02689,Акт,TOO North Office,219000,KZT,26280.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-03-12,LG-02690,Счет-фактура,TOO Metro Parts,226250,KZT,27150.0,7210,Маркетинговые услуги,Айгерим С.
2026-03-13,LG-02691,Акт,TOO City Trade,233500,KZT,28020.0,2930,Транспортные услуги,Нурлан Т.
2026-03-14,LG-02692,Счет-фактура,IP Audit Expert,240750,KZT,28890.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-03-15,LG-02693,Акт,TOO Vision Market,248000,KZT,29760.0,7210,Услуги сопровождения офиса,Арман О.
2026-03-16,LG-02694,Счет-фактура,TOO Logistic Group,255250,KZT,30630.0,2930,Поставка расходных материалов,Дамир К.
2026-03-17,LG-02695,Акт,TOO Prime Service,262500,KZT,31500.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-03-18,LG-02696,Счет-фактура,TOO Delta Supplies,269750,KZT,32370.0,7210,Маркетинговые услуги,Нурлан Т.
2026-03-19,LG-02697,Акт,TOO North Office,277000,KZT,33240.0,2930,Транспортные услуги,Марина Ж.
2026-03-20,LG-02698,Счет-фактура,TOO Metro Parts,284250,KZT,34110.0,3310,Закупка канцелярских товаров,Арман О.
2026-03-21,LG-02699,Акт,TOO City Trade,291500,KZT,34980.0,7210,Услуги сопровождения офиса,Дамир К.
2026-03-22,LG-02700,Счет-фактура,IP Audit Expert,298750,KZT,35850.0,2930,Поставка расходных материалов,Айгерим С.
2026-03-23,LG-02701,Акт,TOO Vision Market,306000,KZT,36720.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-03-24,LG-02702,Счет-фактура,TOO Logistic Group,45000,KZT,5400.0,7210,Маркетинговые услуги,Марина Ж.
2026-03-25,LG-02703,Акт,TOO Prime Service,52250,KZT,6270.0,2930,Транспортные услуги,Арман О.
2026-03-26,LG-02704,Счет-фактура,TOO Delta Supplies,59500,KZT,7140.0,3310,Закупка канцелярских товаров,Дамир К.
2026-03-27,LG-02705,Акт,TOO North Office,66750,KZT,8010.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-03-28,LG-02706,Счет-фактура,TOO Metro Parts,74000,KZT,8880.0,2930,Поставка расходных материалов,Нурлан Т.
2026-03-29,LG-02707,Акт,TOO City Trade,81250,KZT,9750.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-03-30,LG-02708,Счет-фактура,IP Audit Expert,88500,KZT,10620.0,7210,Маркетинговые услуги,Арман О.
2026-03-31,LG-02709,Акт,TOO Vision Market,95750,KZT,11490.0,2930,Транспортные услуги,Дамир К.
2026-04-01,LG-02710,Счет-фактура,TOO Logistic Group,103000,KZT,12360.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-04-02,LG-02711,Акт,TOO Prime Service,110250,KZT,13230.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-04-03,LG-02712,Счет-фактура,TOO Delta Supplies,117500,KZT,14100.0,2930,Поставка расходных материалов,Марина Ж.
2026-04-04,LG-02713,Акт,TOO North Office,124750,KZT,14970.0,3310,Техническое обслуживание оборудования,Арман О.
2026-04-05,LG-02714,Счет-фактура,TOO Metro Parts,132000,KZT,15840.0,7210,Маркетинговые услуги,Дамир К.
2026-04-06,LG-02715,Акт,TOO City Trade,139250,KZT,16710.0,2930,Транспортные услуги,Айгерим С.
2026-04-07,LG-02716,Счет-фактура,IP Audit Expert,146500,KZT,17580.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-04-08,LG-02717,Акт,TOO Vision Market,153750,KZT,18450.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-04-09,LG-02718,Счет-фактура,TOO Logistic Group,161000,KZT,19320.0,2930,Поставка расходных материалов,Арман О.
2026-04-10,LG-02719,Акт,TOO Prime Service,168250,KZT,20190.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-04-11,LG-02720,Счет-фактура,TOO Delta Supplies,175500,KZT,21060.0,7210,Маркетинговые услуги,Айгерим С.
2026-04-12,LG-02721,Акт,TOO North Office,182750,KZT,21930.0,2930,Транспортные услуги,Нурлан Т.
2026-04-13,LG-02722,Счет-фактура,TOO Metro Parts,190000,KZT,22800.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-04-14,LG-02723,Акт,TOO City Trade,197250,KZT,23670.0,7210,Услуги сопровождения офиса,Арман О.
2026-04-15,LG-02724,Счет-фактура,IP Audit Expert,204500,KZT,24540.0,2930,Поставка расходных материалов,Дамир К.
2026-04-16,LG-02725,Акт,TOO Vision Market,211750,KZT,25410.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-04-17,LG-02726,Счет-фактура,TOO Logistic Group,219000,KZT,26280.0,7210,Маркетинговые услуги,Нурлан Т.
2026-04-18,LG-02727,Акт,TOO Prime Service,226250,KZT,27150.0,2930,Транспортные услуги,Марина Ж.
2026-04-19,LG-02728,Счет-фактура,TOO Delta Supplies,233500,KZT,28020.0,3310,Закупка канцелярских товаров,Арман О.
2026-04-20,LG-02729,Акт,TOO North Office,240750,KZT,28890.0,7210,Услуги сопровождения офиса,Дамир К.
2026-04-21,LG-02729,Счет-фактура,TOO Metro Parts,248000,KZT,29760.0,2930,Поставка расходных материалов,Айгерим С.
2026-04-22,LG-02731,Акт,TOO City Trade,255250,KZT,30630.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-04-23,LG-02732,Счет-фактура,IP Audit Expert,262500,KZT,31500.0,7210,Маркетинговые услуги,Марина Ж.
2026-04-24,LG-02733,Акт,TOO Vision Market,269750,KZT,32370.0,2930,Транспортные услуги,Арман О.
2026-04-25,LG-02734,Счет-фактура,IP Rare Vendor 7,277000,KZT,33240.0,3310,Закупка канцелярских товаров,Дамир К.
2026-04-26,LG-02735,Акт,TOO Prime Service,284250,KZT,34110.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-04-27,LG-02736,Счет-фактура,TOO Delta Supplies,291500,KZT,34980.0,2930,Поставка расходных материалов,Нурлан Т.
2026-04-28,LG-02737,Акт,TOO North Office,298750,KZT,35850.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-04-29,LG-02738,Счет-фактура,TOO Metro Parts,306000,KZT,36720.0,7210,Маркетинговые услуги,Арман О.
2026-04-30,LG-02739,Акт,TOO City Trade,45000,KZT,5400.0,2930,Транспортные услуги,Дамир К.
2026-05-01,LG-02740,Счет-фактура,IP Audit Expert,52250,KZT,6270.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-05-02,LG-02741,Акт,TOO Vision Market,59500,KZT,7140.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-05-03,LG-02742,Счет-фактура,TOO Logistic Group,66750,KZT,8010.0,2930,Поставка расходных материалов,Марина Ж.
2026-05-04,LG-02743,Акт,TOO Prime Service,74000,KZT,8880.0,3310,Техническое обслуживание оборудования,Арман О.
2026-05-05,LG-02744,Счет-фактура,TOO Delta Supplies,81250,KZT,9750.0,7210,Маркетинговые услуги,Дамир К.
2026-05-06,LG-02745,Акт,TOO North Office,88500,KZT,10620.0,2930,Транспортные услуги,Айгерим С.
2026-05-07,LG-02746,Счет-фактура,TOO Metro Parts,95750,KZT,11490.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-05-08,LG-02747,Акт,TOO City Trade,103000,KZT,12360.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-05-09,LG-02748,Счет-фактура,IP Audit Expert,110250,KZT,13230.0,2930,Поставка расходных материалов,Арман О.
2026-05-10,LG-02749,Акт,TOO Vision Market,117500,KZT,14100.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-05-11,LG-02750,Прочее,TOO Unknown Services,2750000,KZT,0,7210,Срочная корректировка вручную,Айгерим С.
2026-05-12,LG-02751,Акт,TOO Prime Service,132000,KZT,15840.0,2930,Транспортные услуги,Нурлан Т.
2026-05-13,LG-02752,Счет-фактура,TOO Delta Supplies,139250,KZT,16710.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-05-14,LG-02753,Акт,TOO North Office,146500,KZT,17580.0,7210,Услуги сопровождения офиса,Арман О.
2026-05-15,LG-02754,Счет-фактура,TOO Metro Parts,153750,KZT,18450.0,2930,Поставка расходных материалов,Дамир К.
2026-05-16,LG-02755,Акт,TOO City Trade,161000,KZT,19320.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-05-17,LG-02756,Счет-фактура,IP Audit Expert,168250,KZT,20190.0,7210,Маркетинговые услуги,Нурлан Т.
2026-05-18,LG-02757,Акт,TOO Vision Market,175500,KZT,21060.0,2930,Транспортные услуги,Марина Ж.
2026-05-19,LG-02758,Счет-фактура,TOO Logistic Group,182750,KZT,21930.0,3310,Закупка канцелярских товаров,Арман О.
2026-05-20,LG-02759,Акт,TOO Prime Service,190000,KZT,22800.0,7210,Услуги сопровождения офиса,Дамир К.
2026-05-21,LG-02760,Счет-фактура,TOO Delta Supplies,197250,KZT,23670.0,2930,Поставка расходных материалов,Айгерим С.
2026-05-22,LG-02761,Акт,TOO North Office,204500,KZT,24540.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-05-23,LG-02762,Счет-фактура,TOO Metro Parts,211750,KZT,25410.0,7210,Маркетинговые услуги,Марина Ж.
2026-05-24,LG-02763,Акт,TOO City Trade,219000,KZT,26280.0,2930,Транспортные услуги,Арман О.
2026-05-25,LG-02764,Счет-фактура,IP Audit Expert,226250,KZT,27150.0,3310,Закупка канцелярских товаров,Дамир К.
2026-05-26,LG-02765,Акт,TOO Vision Market,233500,KZT,28020.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-05-27,LG-02766,Счет-фактура,TOO Logistic Group,240750,KZT,28890.0,2930,Поставка расходных материалов,Нурлан Т.
2026-05-28,LG-02767,Акт,TOO Prime Service,248000,KZT,29760.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-05-29,LG-02768,Счет-фактура,TOO Delta Supplies,255250,KZT,30630.0,7210,Маркетинговые услуги,Арман О.
2026-05-30,LG-02769,Акт,TOO North Office,262500,KZT,31500.0,2930,Транспортные услуги,Дамир К.
2026-05-31,LG-02770,Счет-фактура,TOO Metro Parts,269750,KZT,32370.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-06-01,LG-02771,Акт,TOO City Trade,277000,KZT,33240.0,7210,Услуги сопровождения офиса,Нурлан Т.
